	organism	tem
1292	Chlamydia trachomatis E/150	0
1293	Chlamydia trachomatis E/Bour	0
1294	Chlamydia trachomatis E/SW3	0
1295	Chlamydia trachomatis F/11-96	0
1296	Chlamydia trachomatis F/SW4	0
1297	Chlamydia trachomatis F/SW5	0
1298	Chlamydia trachomatis G/11074	0
1299	Chlamydia trachomatis G/11222	0
1300	Chlamydia trachomatis G/9301	0
1301	Chlamydia trachomatis G/9768	0
1302	Chlamydia trachomatis Ia/SotonIa1	0
1303	Chlamydia trachomatis Ia/SotonIa3	0
1304	Chlamydia trachomatis J/6276tet1	0
1305	Chlamydia trachomatis L1/115	0
1306	Chlamydia trachomatis L1/224	0
1307	Chlamydia trachomatis L1/440/LN	0
1308	Chlamydia trachomatis L2/25667R	0
1309	Chlamydia trachomatis L2/434/Bu(f)	0
1310	Chlamydia trachomatis L2/434/Bu(i)	0
1311	Chlamydia trachomatis L2b/795	0
1312	Chlamydia trachomatis L2b/8200/07	0
1313	Chlamydia trachomatis L2b/UCH-1/proctitis	0
1314	Chlamydia trachomatis L2b/UCH-2	0
1315	Chlamydia trachomatis L2c	0
1316	Chlamydia trachomatis L3/404/LN	0
1317	Chlamydia trachomatis RC-F/69	0
1318	Chlamydia trachomatis RC-F(s)/342	0
1319	Chlamydia trachomatis RC-F(s)/852	0
1320	Chlamydia trachomatis RC-J/943	0
1321	Chlamydia trachomatis RC-J/953	0
1322	Chlamydia trachomatis RC-J/966	0
1323	Chlamydia trachomatis RC-J/971	0
1324	Chlamydia trachomatis RC-J(s)/122	0
1325	Chlamydia trachomatis RC-L2/55	0
1326	Chlamydia trachomatis RC-L2(s)/3	0
1327	Chlamydia trachomatis RC-L2(s)/46	0
1328	Chlamydia trachomatis Sweden2	0
1329	Chlamydophila caviae GPIC	0
1330	Chlamydophila pecorum E58	0
1331	Chlamydophila pneumoniae CWL029	0
1332	Chlamydophila pneumoniae J138	0
1333	Chlamydophila pneumoniae LPCoLN	0
1334	Chlamydophila pneumoniae TW-183	0
1335	Chloracidobacterium thermophilum B	404ERROR
1336	Chlorobaculum limnaeum	404ERROR
1337	Chlorobaculum parvum NCIB 8327	404ERROR
1338	Chlorobium chlorochromatii CaD3	0
1339	Chlorobium limicola DSM 245	404ERROR
1340	Chlorobium luteolum DSM 273	404ERROR
1341	Chlorobium phaeobacteroides BS1	404ERROR
1342	Chlorobium phaeobacteroides DSM 266	404ERROR
1343	Chlorobium phaeovibrioides DSM 265	404ERROR
1344	Chlorobium tepidum TLS	0
1345	Chloroflexus aggregans DSM 9485	0
1346	Chloroflexus aurantiacus J-10-fl	['35', '70']
1347	Chloroflexus sp. Y-400-fl	404ERROR
1348	Chloroherpeton thalassium ATCC 35110	404ERROR
1349	Chondrocystis sp. NIES-4102	404ERROR
1350	Chondromyces crocatus	404ERROR
1351	Christensenella massiliensis	404ERROR
1352	Chromatiaceae bacterium 2141T.STBD.0c.01a	404ERROR
1353	Chromobacterium sp. ATCC 53434	404ERROR
1354	Chromobacterium vaccinii	404ERROR
1355	Chromobacterium violaceum	0
1356	Chromobacterium violaceum ATCC 12472	0
1357	Chromohalobacter salexigens DSM 3043	0
1358	Chroococcidiopsis thermalis PCC 7203	404ERROR
1359	Chryseobacterium camelliae	0
1360	Chryseobacterium gallinarum	0
1361	Chryseobacterium glaciei	0
1362	Chryseobacterium indologenes	0
1363	Chryseobacterium piperi	0
1364	Chryseobacterium sp. IHB B 17019	404ERROR
1365	Chryseobacterium sp. StRB126	404ERROR
1366	Chryseobacterium sp. T16E-39	404ERROR
1367	Chryseobacterium taklimakanense	0
1368	Citrobacter amalonaticus	0
1369	Citrobacter amalonaticus Y19	0
1370	Citrobacter braakii	0
1371	Citrobacter farmeri	0
1372	Citrobacter freundii	0
1373	Citrobacter freundii CFNIH1	0
1374	Citrobacter freundii complex sp. CFNIH2	0
1375	Citrobacter freundii complex sp. CFNIH3	0
1376	Citrobacter freundii complex sp. CFNIH4	0
1377	Citrobacter freundii complex sp. CFNIH9	0
1378	Citrobacter koseri	0
1379	Citrobacter koseri ATCC BAA-895	0
1380	Citrobacter rodentium ICC168	0
1381	Citrobacter sp. CFNIH10	404ERROR
1382	Citrobacter sp. FDAARGOS_156	404ERROR
1383	Citrobacter werkmanii	0
1384	Citromicrobium sp. JL477	404ERROR
1385	Clavibacter insidiosus	404ERROR
1386	Clavibacter michiganensis subsp. capsici	['21']
1387	Clavibacter michiganensis subsp. insidiosus	['21']
1388	Clavibacter michiganensis subsp. michiganensis NCPPB 382	['21']
1389	Clavibacter michiganensis subsp. nebraskensis NCPPB 2581	['21']
1390	Clavibacter sepedonicus	404ERROR
1391	Cloacibacillus porcorum	404ERROR
1392	Clostridioides difficile	0
1393	Clostridioides difficile 630	0
1394	Clostridioides difficile CD196	0
1395	Clostridioides difficile M120	0
1396	Clostridium aceticum	404ERROR
1397	Clostridium acetobutylicum ATCC 824	0
1398	Clostridium acetobutylicum DSM 1731	0
1399	Clostridium acetobutylicum EA 2018	0
1400	Clostridium argentinense	0
1401	Clostridium autoethanogenum DSM 10061	0
1402	Clostridium baratii str. Sullivan	0
1403	Clostridium beijerinckii	['37']
1404	Clostridium beijerinckii ATCC 35702	['37']
1405	Clostridium beijerinckii NCIMB 8052	['37']
1406	Clostridium beijerinckii NRRL B-598	['37']
1407	[Clostridium] bolteae	404ERROR
1408	Clostridium bornimense	0
1409	Clostridium botulinum	['100', '100']
1410	Clostridium botulinum 202F	['100', '100']
1411	Clostridium botulinum A2 str. Kyoto	['100', '100']
1412	Clostridium botulinum A3 str. Loch Maree	['100', '100']
1413	Clostridium botulinum A str. ATCC 19397	['100', '100']
1414	Clostridium botulinum A str. ATCC 3502	['100', '100']
1415	Clostridium botulinum A str. Hall	['100', '100']
1416	Clostridium botulinum B1 str. Okra	['100', '100']
1417	Clostridium botulinum Ba4 str. 657	['100', '100']
1418	Clostridium botulinum BKT015925	['100', '100']
1419	Clostridium botulinum B str. Eklund 17B (NRP)	['100', '100']
1420	Clostridium botulinum CDC_1436	['100', '100']
1421	Clostridium botulinum E3 str. Alaska E43	['100', '100']
1422	Clostridium botulinum F str. 230613	['100', '100']
1423	Clostridium botulinum F str. Langeland	['100', '100']
1424	Clostridium botulinum H04402 065	['100', '100']
1425	Clostridium butyricum	0
1426	Clostridium carboxidivorans P7	0
1427	[Clostridium] cellulolyticum H10	404ERROR
1428	[Clostridium] cellulosi	404ERROR
1429	Clostridium cellulovorans 743B	0
1430	Clostridium chauvoei	0
1431	Clostridium chauvoei JF4335	0
1432	[Clostridium] clariflavum DSM 19732	404ERROR
1433	Clostridium cochlearium	404ERROR
1434	Clostridium drakei	0
1435	Clostridium estertheticum subsp. estertheticum	0
1436	Clostridium formicaceticum	0
1437	Clostridium kluyveri	0
1438	Clostridium kluyveri DSM 555	0
1439	Clostridium kluyveri NBRC 12016	0
1440	Clostridium lentocellum DSM 5427	0
1441	Clostridium ljungdahlii DSM 13528	0
1442	Clostridium novyi NT	0
1443	Clostridium pasteurianum	0
1444	Clostridium pasteurianum BC1	0
1445	Clostridium pasteurianum DSM 525 = ATCC 6013	0
1446	Clostridium perfringens	['74', '74']
1447	Clostridium perfringens ATCC 13124	['74', '74']
1448	Clostridium perfringens str. 13	['74', '74']
1449	Clostridium saccharobutylicum	0
1450	Clostridium saccharobutylicum DSM 13864	0
1451	[Clostridium] saccharolyticum WM1	404ERROR
1452	Clostridium saccharoperbutylacetonicum	0
1453	Clostridium saccharoperbutylacetonicum N1-4(HMT)	0
1454	Clostridium scatologenes	0
1455	Clostridium sp. BNL1100	404ERROR
1456	Clostridium sporogenes	0
1457	Clostridium sp. SY8519	404ERROR
1458	[Clostridium] stercorarium subsp. leptospartum DSM 9219	404ERROR
1459	[Clostridium] stercorarium subsp. stercorarium DSM 8532	404ERROR
1460	[Clostridium] stercorarium subsp. thermolacticum DSM 2910	404ERROR
1461	Clostridium taeniosporum	404ERROR
1462	Clostridium tetani 12124569	0
1463	Clostridium tetani E88	0
1464	[Clostridium] thermosuccinogenes	404ERROR
1465	Clostridium tyrobutyricum	0
1466	Cnuibacter physcomitrellae	404ERROR
1467	Cobetia marina	0
1468	Collimonas arenae	0
1469	Collimonas fungivorans	0
1470	Collimonas fungivorans Ter331	0
1471	Collimonas pratensis	0
1472	Collinsella aerofaciens	404ERROR
1473	Colwellia beringensis	404ERROR
1474	Colwellia psychrerythraea 34H	404ERROR
1475	Colwellia sp. Arc7-D	404ERROR
1476	Colwellia sp. MT41	404ERROR
1477	Colwellia sp. PAMC 20917	404ERROR
1478	Colwellia sp. PAMC 21821	404ERROR
1479	Comamonadaceae bacterium A1	404ERROR
1480	Comamonadaceae bacterium B1	404ERROR
1481	Comamonas kerstersii	0
1482	Comamonas serinivorans	0
1483	Comamonas testosteroni CNB-2	0
1484	Comamonas testosteroni P19	0
1485	Comamonas testosteroni TK102	0
1486	Conexibacter woesei DSM 14684	0
1487	Confluentimicrobium sp. EMB200-NS6	404ERROR
1488	Coprothermobacter proteolyticus DSM 5265	['75', '63']
1489	Coraliomargarita akajimensis DSM 45221	404ERROR
1490	Corallococcus coralloides DSM 2259	404ERROR
1491	Coriobacteriaceae bacterium 68-1-3	404ERROR
1492	Coriobacterium glomerans PW2	404ERROR
1493	Corynebacterium ammoniagenes	404ERROR
1494	Corynebacterium ammoniagenes DSM 20306	404ERROR
1495	Corynebacterium aquilae DSM 44791	404ERROR
1496	Corynebacterium argentoratense DSM 44202	404ERROR
1497	Corynebacterium atypicum	404ERROR
1498	Corynebacterium aurimucosum ATCC 700975	404ERROR
1499	Corynebacterium callunae DSM 20147	404ERROR
1500	Corynebacterium camporealensis	404ERROR
1501	Corynebacterium casei LMG S-19264	404ERROR
1502	Corynebacterium crudilactis	404ERROR
1503	Corynebacterium cystitidis	404ERROR
1504	Corynebacterium deserti GIMN1.010	404ERROR
1505	Corynebacterium diphtheriae	0
1506	Corynebacterium diphtheriae 241	0
1507	Corynebacterium diphtheriae 31A	0
1508	Corynebacterium diphtheriae BH8	0
1509	Corynebacterium diphtheriae bv. mitis str. ISS 3319	0
1510	Corynebacterium diphtheriae C7 (beta)	0
1511	Corynebacterium diphtheriae CDCE 8392	0
1512	Corynebacterium diphtheriae HC01	0
1513	Corynebacterium diphtheriae HC02	0
1514	Corynebacterium diphtheriae HC03	0
1515	Corynebacterium diphtheriae HC04	0
1516	Corynebacterium diphtheriae INCA 402	0
1517	Corynebacterium diphtheriae NCTC 13129	0
1518	Corynebacterium diphtheriae PW8	0
1519	Corynebacterium diphtheriae VA01	0
1520	Corynebacterium doosanense CAU 212 = DSM 45436	404ERROR
1521	Corynebacterium efficiens YS-314	0
1522	Corynebacterium epidermidicanis	404ERROR
1523	Corynebacterium falsenii DSM 44353	404ERROR
1524	Corynebacterium flavescens	404ERROR
1525	Corynebacterium frankenforstense DSM 45800	404ERROR
1526	Corynebacterium glaucum	404ERROR
1527	Corynebacterium glutamicum	0
1528	Corynebacterium glutamicum ATCC 13032	0
1529	Corynebacterium glutamicum ATCC 14067	0
1530	Corynebacterium glutamicum K051	0
1531	Corynebacterium glutamicum MB001	0
1532	Corynebacterium glutamicum R	0
1533	Corynebacterium glutamicum SCgG1	0
1534	Corynebacterium glutamicum SCgG2	0
1535	Corynebacterium glutamicum ZL-6	0
1536	Corynebacterium glyciniphilum AJ 3170	404ERROR
1537	Corynebacterium halotolerans YIM 70093 = DSM 44683	404ERROR
1538	Corynebacterium humireducens NBRC 106098 = DSM 45392	404ERROR
1539	Corynebacterium imitans	404ERROR
1540	Corynebacterium jeikeium	0
1541	Corynebacterium jeikeium K411	0
1542	Corynebacterium kroppenstedtii DSM 44385	404ERROR
1543	Corynebacterium kutscheri	404ERROR
1544	Corynebacterium lactis RW2-5	404ERROR
1545	Corynebacterium marinum DSM 44953	404ERROR
1546	Corynebacterium maris DSM 45190	404ERROR
1547	Corynebacterium mustelae	404ERROR
1548	Corynebacterium phocae	404ERROR
1549	Corynebacterium pseudotuberculosis	404ERROR
1550	Corynebacterium pseudotuberculosis 1002	404ERROR
1551	Corynebacterium pseudotuberculosis 1/06-A	404ERROR
1552	Corynebacterium pseudotuberculosis 258	404ERROR
1553	Corynebacterium pseudotuberculosis 267	404ERROR
1554	Corynebacterium pseudotuberculosis 31	404ERROR
1555	Corynebacterium pseudotuberculosis 316	404ERROR
1556	Corynebacterium pseudotuberculosis 3/99-5	404ERROR
1557	Corynebacterium pseudotuberculosis 42/02-A	404ERROR
1558	Corynebacterium pseudotuberculosis C231	404ERROR
1559	Corynebacterium pseudotuberculosis CIP 52.97	404ERROR
1560	Corynebacterium pseudotuberculosis Cp162	404ERROR
1561	Corynebacterium pseudotuberculosis FRC41	404ERROR
1562	Corynebacterium pseudotuberculosis I19	404ERROR
1563	Corynebacterium pseudotuberculosis P54B96	404ERROR
1564	Corynebacterium pseudotuberculosis PAT10	404ERROR
1565	Corynebacterium resistens DSM 45100	404ERROR
1566	Corynebacterium simulans	404ERROR
1567	Corynebacterium singulare	404ERROR
1568	Corynebacterium sp. 2183	404ERROR
1569	Corynebacterium sp. 2184	404ERROR
1570	Corynebacterium sp. ATCC 6931	404ERROR
1571	Corynebacterium sphenisci DSM 44792	404ERROR
1572	Corynebacterium sp. NML98-0116	404ERROR
1573	Corynebacterium stationis	404ERROR
1574	Corynebacterium striatum	404ERROR
1575	Corynebacterium terpenotabidum Y-11	404ERROR
1576	Corynebacterium testudinoris	404ERROR
1577	Corynebacterium ulcerans	0
1578	Corynebacterium ulcerans 0102	0
1579	Corynebacterium ulcerans 809	0
1580	Corynebacterium ulcerans BR-AD22	0
1581	Corynebacterium ulcerans FRC11	0
1582	Corynebacterium ulcerans FRC58	0
1583	Corynebacterium urealyticum	0
1584	Corynebacterium urealyticum DSM 7109	0
1585	Corynebacterium urealyticum DSM 7111	0
1586	Corynebacterium ureicelerivorans	404ERROR
1587	Corynebacterium uterequi	404ERROR
1588	Corynebacterium variabile DSM 44702	404ERROR
1589	Corynebacterium vitaeruminis DSM 20294	404ERROR
1590	Coxiella burnetii	0
1591	Coxiella burnetii CbuG_Q212	0
1592	Coxiella burnetii CbuK_Q154	0
1593	Coxiella burnetii Dugway 5J108-111	0
1594	Coxiella burnetii 'MSU Goat Q177'	0
1595	Coxiella burnetii RSA 331	0
1596	Coxiella burnetii RSA 493	0
1597	Coxiella burnetii Z3055	0
1598	Coxiella endosymbiont of Amblyomma americanum	404ERROR
1599	Coxiella-like endosymbiont	404ERROR
1600	Crinalium epipsammum PCC 9333	0
1601	Croceibacter atlanticus HTCC2559	404ERROR
1602	Croceicoccus marinus	404ERROR
1603	Croceicoccus naphthovorans	404ERROR
1604	Cronobacter condimenti 1330	404ERROR
1605	Cronobacter dublinensis subsp. dublinensis LMG 23823	0
1606	Cronobacter malonaticus	0
1607	Cronobacter malonaticus LMG 23826	0
1608	Cronobacter muytjensii ATCC 51329	0
1609	Cronobacter sakazakii	0
1610	Cronobacter sakazakii ATCC BAA-894	0
1611	Cronobacter sakazakii ES15	0
1612	Cronobacter sakazakii SP291	0
1613	Cronobacter turicensis z3032	0
1614	Cronobacter universalis NCTC 9529	404ERROR
1615	Cryobacterium arcticum	404ERROR
1616	Cryobacterium sp. LW097	404ERROR
1617	Cryptobacterium curtum DSM 15641	0
1618	Cuniculiplasma divulgatum	404ERROR
1619	Cupriavidus basilensis	0
1620	Cupriavidus gilardii CR3	0
1621	Cupriavidus metallidurans	0
1622	Cupriavidus metallidurans CH34	0
1623	Cupriavidus necator N-1	0
1624	Cupriavidus sp. NH9	404ERROR
1625	Cupriavidus sp. USMAA1020	404ERROR
1626	Cupriavidus sp. USMAA2-4	404ERROR
1627	Cupriavidus sp. USMAHM13	404ERROR
1628	Curtobacterium pusillum	404ERROR
1629	Curtobacterium sp. BH-2-1-1	404ERROR
1630	Curtobacterium sp. MR_MD2014	404ERROR
1631	Cutibacterium acnes	0
1632	Cutibacterium avidum	404ERROR
1633	Cutibacterium avidum 44067	404ERROR
1634	Cutibacterium granulosum	404ERROR
1635	Cyanobacterium aponinum PCC 10605	404ERROR
1636	cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko	404ERROR
1637	Cyanobium gracile PCC 6307	404ERROR
1638	Cyanobium sp. NIES-981	404ERROR
1639	Cyanothece sp. ATCC 51142	404ERROR
1640	Cyanothece sp. PCC 7424	404ERROR
1641	Cyanothece sp. PCC 7425	404ERROR
1642	Cyanothece sp. PCC 7822	404ERROR
1643	Cyanothece sp. PCC 8801	404ERROR
1644	Cyanothece sp. PCC 8802	404ERROR
1645	Cyclobacterium amurskyense	0
1646	Cyclobacterium marinum DSM 745	0
1647	Cycloclasticus sp. P1	404ERROR
1648	Cycloclasticus sp. PY97N	404ERROR
1649	Cycloclasticus zancles 78-ME	404ERROR
1650	Cystobacter fuscus	404ERROR
1651	Cytophaga hutchinsonii ATCC 33406	404ERROR
1652	Dactylococcopsis salina PCC 8305	404ERROR
1653	Dechloromonas aromatica RCB	0
1654	Dechlorosoma suillum PS	404ERROR
1655	Deferribacter desulfuricans SSM1	0
1656	Defluviimonas alba	404ERROR
1657	Defluviitoga tunisiensis	404ERROR
1658	Dehalobacterium formicoaceticum	404ERROR
1659	Dehalobacter restrictus DSM 9455	0
1660	Dehalobacter sp. CF	404ERROR
1661	Dehalobacter sp. DCA	404ERROR
1662	Dehalococcoides mccartyi	404ERROR
1663	Dehalococcoides mccartyi 195	404ERROR
1664	Dehalococcoides mccartyi BAV1	404ERROR
1665	Dehalococcoides mccartyi BTF08	404ERROR
1666	Dehalococcoides mccartyi CBDB1	404ERROR
1667	Dehalococcoides mccartyi CG1	404ERROR
1668	Dehalococcoides mccartyi CG4	404ERROR
1669	Dehalococcoides mccartyi CG5	404ERROR
1670	Dehalococcoides mccartyi DCMB5	404ERROR
1671	Dehalococcoides mccartyi GT	404ERROR
1672	Dehalococcoides mccartyi GY50	404ERROR
1673	Dehalococcoides mccartyi IBARAKI	404ERROR
1674	Dehalococcoides mccartyi VS	404ERROR
1675	Dehalococcoides sp. UCH007	404ERROR
1676	Dehalogenimonas formicexedens	0
1677	Dehalogenimonas lykanthroporepellens BL-DC-9	['34', '34', '30']
1678	Deinococcus actinosclerus	404ERROR
1679	Deinococcus deserti VCD115	0
1680	Deinococcus geothermalis DSM 11300	['45', '50']
1681	Deinococcus gobiensis I-0	404ERROR
1682	Deinococcus maricopensis DSM 21211	404ERROR
1683	Deinococcus peraridilitoris DSM 19664	404ERROR
1684	Deinococcus proteolyticus MRP	404ERROR
1685	Deinococcus puniceus	404ERROR
1686	Deinococcus radiodurans R1	0
1687	Deinococcus soli Cha et al. 2016	404ERROR
1688	Deinococcus sp. NW-56	404ERROR
1689	Deinococcus swuensis	404ERROR
1690	Delftia acidovorans SPH-1	0
1691	Delftia sp. Cs1-4	404ERROR
1692	Delftia sp. HK171	404ERROR
1693	Delftia tsuruhatensis	0
1694	Denitrobacterium detoxificans	404ERROR
1695	Denitrovibrio acetiphilus DSM 12809	404ERROR
1696	Dermabacter vaginalis	404ERROR
1697	Dermacoccus nishinomiyaensis	404ERROR
1698	Dermatophilus congolensis	0
1699	Desulfarculus baarsii DSM 2075	404ERROR
1700	Desulfatibacillum alkenivorans AK-01	0
1701	Desulfitobacterium dehalogenans ATCC 51507	0
1702	Desulfitobacterium dichloroeliminans LMG P-21439	404ERROR
1703	Desulfitobacterium hafniense DCB-2	0
1704	Desulfitobacterium hafniense Y51	0
1705	Desulfitobacterium metallireducens DSM 15288	0
1706	Desulfobacca acetoxidans DSM 11109	404ERROR
1707	Desulfobacterium autotrophicum HRM2	0
1708	Desulfobacula toluolica Tol2	0
1709	Desulfobulbus sp. ORNL	404ERROR
1710	Desulfocapsa sulfexigens DSM 10523	0
1711	Desulfococcus multivorans	0
1712	Desulfococcus oleovorans Hxd3	0
1713	Desulfohalobium retbaense DSM 5692	0
1714	Desulfomicrobium baculatum DSM 4028	404ERROR
1715	Desulfomicrobium orale DSM 12838	404ERROR
1716	Desulfomonile tiedjei DSM 6799	0
1717	Desulfosporosinus acidiphilus SJ4	404ERROR
1718	Desulfosporosinus meridiei DSM 13257	404ERROR
1719	Desulfosporosinus orientis DSM 765	0
1720	Desulfotalea psychrophila LSv54	404ERROR
1721	Desulfotomaculum acetoxidans DSM 771	404ERROR
1722	Desulfotomaculum ferrireducens	404ERROR
1723	Desulfotomaculum gibsoniae DSM 7213	404ERROR
1724	Desulfotomaculum nigrificans CO-1-SRB	404ERROR
1725	Desulfotomaculum reducens MI-1	404ERROR
1726	Desulfotomaculum ruminis DSM 2154	404ERROR
1727	Desulfovibrio africanus str. Walvis Bay	404ERROR
1728	Desulfovibrio alaskensis G20	0
1729	Desulfovibrio desulfuricans ND132	0
1730	Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774	0
1731	Desulfovibrio fairfieldensis	404ERROR
1732	Desulfovibrio magneticus RS-1	0
1733	Desulfovibrio piger	404ERROR
1734	Desulfovibrio salexigens DSM 2638	404ERROR
1735	Desulfovibrio sp. G11	404ERROR
1736	Desulfovibrio vulgaris DP4	0
1737	Desulfovibrio vulgaris RCH1	0
1738	Desulfovibrio vulgaris str. Hildenborough	0
1739	Desulfovibrio vulgaris str. 'Miyazaki F'	0
1740	Desulfurella acetivorans A63	0
1741	Desulfurispirillum indicum S5	404ERROR
1742	Desulfurivibrio alkaliphilus AHT 2	404ERROR
1743	Desulfurobacterium thermolithotrophum DSM 11699	0
1744	Desulfurococcus amylolyticus 1221n	0
1745	Desulfurococcus amylolyticus DSM 16532	0
1746	Desulfurococcus mucosus DSM 2162	0
1747	Desulfuromonas soudanensis	404ERROR
1748	Desulfuromonas sp. DDH964	404ERROR
1749	Devosia sp. A16	404ERROR
1750	Devosia sp. H5989	404ERROR
1751	Devosia sp. I507	404ERROR
1752	Devriesea agamarum	404ERROR
1753	Dialister pneumosintes	0
1754	Dialister sp. Marseille-P5638	404ERROR
1755	Diaphorobacter polyhydroxybutyrativorans	0
1756	Dichelobacter nodosus VCS1703A	0
1757	Dickeya dadantii	['34']
1758	Dickeya dadantii 3937	['34']
1759	Dickeya dianthicola RNS04.9	404ERROR
1760	Dickeya fangzhongdai	404ERROR
1761	Dickeya solani	0
1762	Dickeya solani D s0432-1	0
1763	Dickeya solani IPO 2222	0
1764	Dickeya solani RNS 08.23.3.1.A	0
1765	Dickeya sp. Secpp 1600	404ERROR
1766	Dickeya zeae	404ERROR
1767	Dickeya zeae EC1	404ERROR
1768	Dickeya zeae Ech586	404ERROR
1769	Dictyoglomus thermophilum H-6-12	0
1770	Dictyoglomus turgidum DSM 6724	0
1771	Dietzia lutea	0
1772	Dietzia psychralcaliphila	0
1773	Dietzia sp. JS16-p6b	404ERROR
1774	Dietzia sp. oral taxon 368	404ERROR
1775	Dietzia timorensis	0
1776	Dinoroseobacter shibae DFL 12 = DSM 16493	['38', '33']
1777	Dokdonella koreensis DS-123	0
1778	Dokdonia donghaensis DSW-1	['35', '30']
1779	Dokdonia sp. 4H-3-7-5	404ERROR
1780	Dokdonia sp. Dokd-P16	404ERROR
1781	Dokdonia sp. MED134	404ERROR
1782	Draconibacterium orientale	404ERROR
1783	Dyadobacter fermentans DSM 18053	0
1784	Dyella japonica A8	0
1785	Dyella jiangningensis	0
1786	Dyella thiooxydans	0
1787	Echinicola vietnamensis DSM 17526	0
1788	Ectothiorhodospira sp. BSL-9	404ERROR
1789	Edwardsiella anguillarum ET080813	404ERROR
1790	Edwardsiella hoshinae	404ERROR
1791	Edwardsiella ictaluri	0
1792	Edwardsiella ictaluri 93-146	0
1793	Edwardsiella piscicida	404ERROR
1794	Edwardsiella piscicida C07-087	404ERROR
1795	Edwardsiella sp. EA181011	404ERROR
1796	Edwardsiella sp. LADL05-105	404ERROR
1797	Edwardsiella tarda	0
1798	Edwardsiella tarda EIB202	0
1799	Edwardsiella tarda FL6-60	0
1800	Eggerthella lenta	404ERROR
1801	Eggerthella lenta DSM 2243	404ERROR
1802	Eggerthella sp. YY7918	404ERROR
1803	Ehrlichia canis	0
1804	Ehrlichia canis str. Jake	0
1805	Ehrlichia chaffeensis str. Arkansas	0
1806	Ehrlichia chaffeensis str. Heartland	0
1807	Ehrlichia chaffeensis str. Jax	0
1808	Ehrlichia chaffeensis str. Liberty	0
1809	Ehrlichia chaffeensis str. Osceola	0
1810	Ehrlichia chaffeensis str. Saint Vincent	0
1811	Ehrlichia chaffeensis str. Wakulla	0
1812	Ehrlichia chaffeensis str. West Paces	0
1813	Ehrlichia muris AS145	0
1814	Ehrlichia ruminantium str. Gardel	0
1815	Ehrlichia ruminantium str. Welgevonden	0
1816	Ehrlichia sp. HF	404ERROR
1817	Eikenella corrodens	0
1818	Elizabethkingia anophelis	0
1819	Elizabethkingia anophelis Ag1	0
1820	Elizabethkingia anophelis FMS-007	0
1821	Elizabethkingia anophelis NUHP1	0
1822	Elizabethkingia anophelis R26	0
1823	Elizabethkingia endophytica	0
1824	Elizabethkingia genomosp. 3	404ERROR
1825	Elizabethkingia genomosp. 4	404ERROR
1826	Elizabethkingia meningoseptica	['40']
1827	Elizabethkingia miricola	0
1828	Elusimicrobium minutum Pei191	0
1829	Endomicrobium proavitum	404ERROR
1830	endosymbiont of Acanthamoeba sp. UWC8	404ERROR
1831	endosymbiont of Bathymodiolus septemdierum str. Myojin knoll	404ERROR
1832	endosymbiont of unidentified scaly snail isolate Monju	404ERROR
1833	endosymbiont 'TC1' of Trimyema compressum	404ERROR
1834	Ensifer adhaerens	404ERROR
1835	Ensifer sojae CCBAU 05684	404ERROR
1836	Enterobacter asburiae	404ERROR
1837	Enterobacter asburiae L1	404ERROR
1838	Enterobacter asburiae LF7a	404ERROR
1839	Enterobacter bugandensis	404ERROR
1840	Enterobacter cancerogenus	0
1841	Enterobacter cloacae	['30', '35']
1842	Enterobacter cloacae complex bacterium	['30', '35']
1843	Enterobacter cloacae complex 'Hoffmann cluster III'	['30', '35']
1844	Enterobacter cloacae complex 'Hoffmann cluster IV'	['30', '35']
1845	Enterobacter cloacae complex sp. 35734	['30', '35']
1846	Enterobacter cloacae complex sp. ECNIH7	['30', '35']
1847	Enterobacter cloacae complex sp. FDA-CDC-AR_0132	['30', '35']
1848	Enterobacter cloacae complex sp. FDA-CDC-AR_0164	['30', '35']
1849	Enterobacter cloacae ECNIH2	['30', '35']
1850	Enterobacter cloacae ECNIH3	['30', '35']
1851	Enterobacter cloacae ECR091	['30', '35']
1852	Enterobacter cloacae EcWSU1	['30', '35']
1853	Enterobacter cloacae P101	['30', '35']
1854	Enterobacter cloacae subsp. cloacae ATCC 13047	['30', '35']
1855	Enterobacter cloacae subsp. cloacae ENHKU01	['30', '35']
1856	Enterobacter cloacae subsp. dissolvens SDM	['30', '35']
1857	Enterobacter hormaechei	404ERROR
1858	Enterobacter hormaechei subsp. hormaechei	404ERROR
1859	Enterobacter hormaechei subsp. oharae	404ERROR
1860	Enterobacter hormaechei subsp. steigerwaltii	404ERROR
1861	Enterobacteriaceae bacterium ENNIH1	404ERROR
1862	Enterobacteriaceae bacterium ENNIH2	404ERROR
1863	Enterobacteriaceae bacterium ENNIH3	404ERROR
1864	Enterobacteriaceae bacterium S05	404ERROR
1865	Enterobacteriaceae bacterium strain FGI 57	404ERROR
1866	Enterobacter kobei	404ERROR
1867	Enterobacter lignolyticus	404ERROR
1868	Enterobacter lignolyticus SCF1	404ERROR
1869	Enterobacter ludwigii	404ERROR
1870	Enterobacter sp. 638	404ERROR
1871	Enterobacter sp. Crenshaw	404ERROR
1872	Enterobacter sp. CRENT-193	404ERROR
1873	Enterobacter sp. E20	404ERROR
1874	Enterobacter sp. FY-07	404ERROR
1875	Enterobacter sp. HK169	404ERROR
