"	organism	tem",,,,,,,,,
"2854	Listeria monocytogenes EGD	['30'", '37', '25', '37'],,,,,,
"2855	Listeria monocytogenes EGD-e	['30'", '37', '25', '37'],,,,,,
"2856	Listeria monocytogenes Finland 1998	['30'", '37', '25', '37'],,,,,,
"2857	Listeria monocytogenes FSL R2-561	['30'", '37', '25', '37'],,,,,,
"2858	Listeria monocytogenes HCC23	['30'", '37', '25', '37'],,,,,,
"2859	Listeria monocytogenes J0161	['30'", '37', '25', '37'],,,,,,
"2860	Listeria monocytogenes J1-220	['30'", '37', '25', '37'],,,,,,
"2861	Listeria monocytogenes J1816	['30'", '37', '25', '37'],,,,,,
"2862	Listeria monocytogenes L312	['30'", '37', '25', '37'],,,,,,
"2863	Listeria monocytogenes L99	['30'", '37', '25', '37'],,,,,,
"2864	Listeria monocytogenes M7	['30'", '37', '25', '37'],,,,,,
"2865	Listeria monocytogenes R479a	['30'", '37', '25', '37'],,,,,,
"2866	Listeria monocytogenes serotype 1/2a str. 02-5993	['30'", '37', '25', '37'],,,,,,
"2867	Listeria monocytogenes serotype 1/2a str. 04-5457	['30'", '37', '25', '37'],,,,,,
"2868	Listeria monocytogenes serotype 1/2a str. 08-6056	['30'", '37', '25', '37'],,,,,,
"2869	Listeria monocytogenes serotype 1/2a str. 08-6569	['30'", '37', '25', '37'],,,,,,
"2870	Listeria monocytogenes serotype 1/2a str. 08-6997	['30'", '37', '25', '37'],,,,,,
"2871	Listeria monocytogenes serotype 1/2a str. 08-7374	['30'", '37', '25', '37'],,,,,,
"2872	Listeria monocytogenes serotype 1/2a str. 08-7669	['30'", '37', '25', '37'],,,,,,
"2873	Listeria monocytogenes serotype 1/2a str. 10-0812	['30'", '37', '25', '37'],,,,,,
"2874	Listeria monocytogenes serotype 1/2a str. 10-0813	['30'", '37', '25', '37'],,,,,,
"2875	Listeria monocytogenes serotype 1/2a str. 10-0814	['30'", '37', '25', '37'],,,,,,
"2876	Listeria monocytogenes serotype 1/2a str. 10-0815	['30'", '37', '25', '37'],,,,,,
"2877	Listeria monocytogenes serotype 1/2a str. 10-0933	['30'", '37', '25', '37'],,,,,,
"2878	Listeria monocytogenes serotype 1/2a str. 10-0934	['30'", '37', '25', '37'],,,,,,
"2879	Listeria monocytogenes serotype 1/2a str. 10-1046	['30'", '37', '25', '37'],,,,,,
"2880	Listeria monocytogenes serotype 1/2a str. 10-1047	['30'", '37', '25', '37'],,,,,,
"2881	Listeria monocytogenes serotype 1/2a str. 10-1321	['30'", '37', '25', '37'],,,,,,
"2882	Listeria monocytogenes serotype 1/2a str. 10-4754	['30'", '37', '25', '37'],,,,,,
"2883	Listeria monocytogenes serotype 1/2a str. 10-4758	['30'", '37', '25', '37'],,,,,,
"2884	Listeria monocytogenes serotype 1/2a str. 10-5024	['30'", '37', '25', '37'],,,,,,
"2885	Listeria monocytogenes serotype 1/2a str. 88-0478	['30'", '37', '25', '37'],,,,,,
"2886	Listeria monocytogenes serotype 1/2a str. 95-0093	['30'", '37', '25', '37'],,,,,,
"2887	Listeria monocytogenes serotype 1/2a str. 98-2035	['30'", '37', '25', '37'],,,,,,
"2888	Listeria monocytogenes serotype 1/2a str. 99-6370	['30'", '37', '25', '37'],,,,,,
"2889	Listeria monocytogenes serotype 1/2b str. 10-0810	['30'", '37', '25', '37'],,,,,,
"2890	Listeria monocytogenes serotype 1/2b str. 10-0811	['30'", '37', '25', '37'],,,,,,
"2891	Listeria monocytogenes serotype 1/2c str. 10-5025	['30'", '37', '25', '37'],,,,,,
"2892	Listeria monocytogenes serotype 1/2c str. 10-5026	['30'", '37', '25', '37'],,,,,,
"2893	Listeria monocytogenes serotype 3c str. 10-5027	['30'", '37', '25', '37'],,,,,,
"2894	Listeria monocytogenes serotype 4b str. 02-1103	['30'", '37', '25', '37'],,,,,,
"2895	Listeria monocytogenes serotype 4b str. 02-1289	['30'", '37', '25', '37'],,,,,,
"2896	Listeria monocytogenes serotype 4b str. 02-1792	['30'", '37', '25', '37'],,,,,,
"2897	Listeria monocytogenes serotype 4b str. 02-6679	['30'", '37', '25', '37'],,,,,,
"2898	Listeria monocytogenes serotype 4b str. 02-6680	['30'", '37', '25', '37'],,,,,,
"2899	Listeria monocytogenes serotype 4b str. 10-0809	['30'", '37', '25', '37'],,,,,,
"2900	Listeria monocytogenes serotype 4b str. 81-0558	['30'", '37', '25', '37'],,,,,,
"2901	Listeria monocytogenes serotype 4b str. 81-0592	['30'", '37', '25', '37'],,,,,,
"2902	Listeria monocytogenes serotype 4b str. 81-0861	['30'", '37', '25', '37'],,,,,,
"2903	Listeria monocytogenes serotype 4b str. CLIP 80459	['30'", '37', '25', '37'],,,,,,
"2904	Listeria monocytogenes serotype 4b str. F2365	['30'", '37', '25', '37'],,,,,,
"2905	Listeria monocytogenes serotype 4b str. LL195	['30'", '37', '25', '37'],,,,,,
"2906	Listeria monocytogenes SLCC2372	['30'", '37', '25', '37'],,,,,,
"2907	Listeria monocytogenes SLCC2376	['30'", '37', '25', '37'],,,,,,
"2908	Listeria monocytogenes SLCC2378	['30'", '37', '25', '37'],,,,,,
"2909	Listeria monocytogenes SLCC2479	['30'", '37', '25', '37'],,,,,,
"2910	Listeria monocytogenes SLCC2540	['30'", '37', '25', '37'],,,,,,
"2911	Listeria monocytogenes SLCC2755	['30'", '37', '25', '37'],,,,,,
"2912	Listeria monocytogenes SLCC5850	['30'", '37', '25', '37'],,,,,,
"2913	Listeria monocytogenes SLCC7179	['30'", '37', '25', '37'],,,,,,
"2914	Listeria monocytogenes WSLC1001	['30'", '37', '25', '37'],,,,,,
"2915	Listeria monocytogenes WSLC1042	['30'", '37', '25', '37'],,,,,,
"3058	Methanococcoides burtonii DSM 6242	['23'", '29', '23', '23', '23'],,,,,
"3069	Methanocorpusculum labreanum Z	['40']",,,,,,,,,
"3092	Methanosarcina horonobensis HB-1 = JCM 15518	['35'", '55'],,,,,,,,
"3093	Methanosarcina lacustris Z-7289	['35'", '55'],,,,,,,,
"3094	Methanosarcina mazei C16	['35'", '55'],,,,,,,,
"3095	Methanosarcina mazei Go1	['35'", '55'],,,,,,,,
"3096	Methanosarcina mazei LYC	['35'", '55'],,,,,,,,
"3097	Methanosarcina mazei S-6	['35'", '55'],,,,,,,,
"3098	Methanosarcina mazei SarPi	['35'", '55'],,,,,,,,
"3099	Methanosarcina mazei WWM610	['35'", '55'],,,,,,,,
"3100	Methanosarcina siciliae C2J	['35'", '55'],,,,,,,,
"3101	Methanosarcina siciliae T4/M	['35'", '55'],,,,,,,,
"3107	Methanosarcina vacuolata Z-761	['35'", '55'],,,,,,,,
"3113	Methanothermobacter thermautotrophicus str. Delta H	['55'", '65'],,,,,,,,
"3114	Methanothermobacter wolfeii	['55'", '65'],,,,,,,,
"3115	Methanothermococcus okinawensis IH1	['65']",,,,,,,,,
"3116	Methanothermus fervidus DSM 2088	['97']",,,,,,,,,
"3119	Methylacidiphilum fumariolicum SolV	['50'", '60'],,,,,,,,
"3120	Methylacidiphilum infernorum V4	['60']",,,,,,,,,
"3143	Methylococcus capsulatus str. Bath	['50'", '37'],,,,,,,,
"3183	Microcystis aeruginosa NIES-2481	['32'", '20', '28', '15'],,,,,,
"3184	Microcystis aeruginosa NIES-2549	['32'", '20', '28', '15'],,,,,,
"3185	Microcystis aeruginosa NIES-843	['32'", '20', '28', '15'],,,,,,
"3186	Microcystis aeruginosa PCC 7806SL	['32'", '20', '28', '15'],,,,,,
"3203	Moraxella catarrhalis	['37']",,,,,,,,,
"3204	Moraxella catarrhalis BBH18	['37']",,,,,,,,,
"3208	Morganella morganii	['30']",,,,,,,,,
"3209	Morganella morganii subsp. morganii KT	['30']",,,,,,,,,
"3219	Mycobacterium abscessus	['28'", '37', '43', '28', '37'],,,,,
"3220	Mycobacterium abscessus subsp. abscessus	['28'", '37', '43', '28', '37'],,,,,
"3221	Mycobacterium abscessus subsp. bolletii	['28'", '37', '43', '28', '37'],,,,,
"3222	Mycobacterium abscessus subsp. bolletii 103	['28'", '37', '43', '28', '37'],,,,,
"3223	Mycobacterium abscessus subsp. bolletii 50594	['28'", '37', '43', '28', '37'],,,,,
"3224	Mycobacterium abscessus subsp. massiliense	['28'", '37', '43', '28', '37'],,,,,
"3225	Mycobacterium abscessus subsp. massiliense CCUG 48898 = JCM 15300	['28'", '37', '43', '28', '37'],,,,,
"3226	Mycobacterium abscessus subsp. massiliense str. GO 06	['28'", '37', '43', '28', '37'],,,,,
"3227	Mycobacterium abscessus UC22	['28'", '37', '43', '28', '37'],,,,,
"3255	Mycobacterium fortuitum	['45']",,,,,,,,,
"3256	Mycobacterium gilvum PYR-GCK	['37'", '45'],,,,,,,,
"3257	Mycobacterium gilvum Spyr1	['37'", '45'],,,,,,,,
"3258	Mycobacterium goodii	['30'", '35', '45'],,,,,,,
"3259	Mycobacterium haemophilum DSM 44634	['32'", '25', '35', '37'],,,,,,
"3271	Mycobacterium liflandii 128FXT	['28'", '35'],,,,,,,,
"3273	Mycobacterium marinum E11	['37'", '33', '37'],,,,,,,
"3274	Mycobacterium marinum M	['37'", '33', '37'],,,,,,,
"3278	Mycobacterium phlei	['28'", '52'],,,,,,,,
"3285	Mycobacterium sp. djl-10	['25'", '50'],,,,,,,,
"3286	Mycobacterium sp. EPa45	['25'", '50'],,,,,,,,
"3287	Mycobacterium sp. JLS	['25'", '50'],,,,,,,,
"3288	Mycobacterium sp. JS623	['25'", '50'],,,,,,,,
"3289	Mycobacterium sp. KMS	['25'", '50'],,,,,,,,
"3290	Mycobacterium sp. MCS	['25'", '50'],,,,,,,,
"3291	Mycobacterium sp. MOTT36Y	['25'", '50'],,,,,,,,
"3292	Mycobacterium sp. NRRL B-3805	['25'", '50'],,,,,,,,
"3293	Mycobacterium sp. PYR15	['25'", '50'],,,,,,,,
"3294	Mycobacterium sp. QIA-37	['25'", '50'],,,,,,,,
"3295	Mycobacterium sp. VKM Ac-1817D	['25'", '50'],,,,,,,,
"3296	Mycobacterium sp. WY10	['25'", '50'],,,,,,,,
"3297	Mycobacterium sp. YC-RL4	['25'", '50'],,,,,,,,
"3326	Mycobacterium ulcerans Agy99	['33'", '33'],,,,,,,,
"3327	Mycobacterium ulcerans subsp. shinshuense	['33'", '33'],,,,,,,,
"3329	Mycobacterium vanbaalenii PYR-1	['37'", '42'],,,,,,,,
"3338	Mycoplasma bovis	['40']",,,,,,,,,
"3339	Mycoplasma bovis CQ-W70	['40']",,,,,,,,,
"3340	Mycoplasma bovis HB0801	['40']",,,,,,,,,
"3341	Mycoplasma bovis Hubei-1	['40']",,,,,,,,,
"3342	Mycoplasma bovis PG45	['40']",,,,,,,,,
"3451	Natronococcus occultus SP4	['50'", '40'],,,,,,,,
"3454	Nautilia profundicola AmH	['55'", '80', '22'],,,,,,,
"3520	Nitrospira moscoviensis	['39'", '40'],,,,,,,,
"3583	Oleispira antarctica RB-8	['25']",,,,,,,,,
"3723	Pasteurella multocida	['37'", '18'],,,,,,,,
"3724	Pasteurella multocida 36950	['37'", '18'],,,,,,,,
"3725	Pasteurella multocida OH1905	['37'", '18'],,,,,,,,
"3726	Pasteurella multocida subsp. multocida	['37'", '18'],,,,,,,,
"3727	Pasteurella multocida subsp. multocida HB01	['37'", '18'],,,,,,,,
"3728	Pasteurella multocida subsp. multocida OH4807	['37'", '18'],,,,,,,,
"3729	Pasteurella multocida subsp. multocida PMTB2.1	['37'", '18'],,,,,,,,
"3730	Pasteurella multocida subsp. multocida str. 3480	['37'", '18'],,,,,,,,
"3731	Pasteurella multocida subsp. multocida str. HB03	['37'", '18'],,,,,,,,
"3732	Pasteurella multocida subsp. multocida str. HN06	['37'", '18'],,,,,,,,
"3733	Pasteurella multocida subsp. multocida str. HN07	['37'", '18'],,,,,,,,
"3734	Pasteurella multocida subsp. multocida str. Pm70	['37'", '18'],,,,,,,,
"3738	Pectobacterium carotovorum	['30']",,,,,,,,,
"3739	Pectobacterium carotovorum subsp. brasiliense	['30']",,,,,,,,,
"3740	Pectobacterium carotovorum subsp. carotovorum PC1	['30']",,,,,,,,,
"3741	Pectobacterium carotovorum subsp. carotovorum PCC21	['30']",,,,,,,,,
"3746	Pediococcus acidilactici	['45'", '65'],,,,,,,,
"3771	Persephonella marina EX-H1	['133'", '170'],,,,,,,,
"3787	Photobacterium profundum SS9	['25'", '15', '10'],,,,,,,
"3865	Prochlorococcus marinus str. AS9601	['33']",,,,,,,,,
"3866	Prochlorococcus marinus str. MIT 9215	['33']",,,,,,,,,
"3867	Prochlorococcus marinus str. MIT 9301	['33']",,,,,,,,,
"3868	Prochlorococcus marinus str. MIT 9312	['33']",,,,,,,,,
"3869	Prochlorococcus marinus str. MIT 9313	['33']",,,,,,,,,
"3870	Prochlorococcus marinus str. MIT 9515	['33']",,,,,,,,,
"3871	Prochlorococcus marinus str. NATL1A	['33']",,,,,,,,,
"3872	Prochlorococcus marinus str. NATL2A	['33']",,,,,,,,,
"3873	Prochlorococcus marinus subsp. marinus str. CCMP1375	['33']",,,,,,,,,
"3874	Prochlorococcus marinus subsp. pastoris str. CCMP1986	['33']",,,,,,,,,
"3902	Proteus vulgaris	['40']",,,,,,,,,
"3904	Providencia rettgeri	['37']",,,,,,,,,
"3905	Providencia stuartii	['37']",,,,,,,,,
"3906	Providencia stuartii MRSN 2154	['37']",,,,,,,,,
"3941	Pseudomonas aeruginosa	['42'", '42'],,,,,,,,
"3942	Pseudomonas aeruginosa B136-33	['42'", '42'],,,,,,,,
"3943	Pseudomonas aeruginosa C-NN2	['42'", '42'],,,,,,,,
"3944	Pseudomonas aeruginosa DHS01	['42'", '42'],,,,,,,,
"3945	Pseudomonas aeruginosa DK1	['42'", '42'],,,,,,,,
"3946	Pseudomonas aeruginosa DK2	['42'", '42'],,,,,,,,
"3947	Pseudomonas aeruginosa DSM 50071 = NBRC 12689	['42'", '42'],,,,,,,,
"3948	Pseudomonas aeruginosa LES431	['42'", '42'],,,,,,,,
"3949	Pseudomonas aeruginosa LESB58	['42'", '42'],,,,,,,,
"3950	Pseudomonas aeruginosa M18	['42'", '42'],,,,,,,,
"3951	Pseudomonas aeruginosa MTB-1	['42'", '42'],,,,,,,,
"3952	Pseudomonas aeruginosa NCGM2.S1	['42'", '42'],,,,,,,,
"3953	Pseudomonas aeruginosa PA1	['42'", '42'],,,,,,,,
"3954	Pseudomonas aeruginosa PA1R	['42'", '42'],,,,,,,,
"3955	Pseudomonas aeruginosa PA7	['42'", '42'],,,,,,,,
"3956	Pseudomonas aeruginosa PAK	['42'", '42'],,,,,,,,
"3957	Pseudomonas aeruginosa PAO1	['42'", '42'],,,,,,,,
"3958	Pseudomonas aeruginosa RP73	['42'", '42'],,,,,,,,
"3959	Pseudomonas aeruginosa SCV20265	['42'", '42'],,,,,,,,
"3960	Pseudomonas aeruginosa SJTD-1	['42'", '42'],,,,,,,,
"3961	Pseudomonas aeruginosa UCBPP-PA14	['42'", '42'],,,,,,,,
"3962	Pseudomonas aeruginosa VRFPA04	['42'", '42'],,,,,,,,
"3963	Pseudomonas aeruginosa YL84	['42'", '42'],,,,,,,,
"3991	Pseudomonas fragi	['30'", '35'],,,,,,,,
"4014	Pseudomonas protegens	['36']",,,,,,,,,
"4015	Pseudomonas protegens Cab57	['36']",,,,,,,,,
"4016	Pseudomonas protegens CHA0	['36']",,,,,,,,,
"4017	Pseudomonas protegens Pf-5	['36']",,,,,,,,,
"4102	Pseudomonas viridiflava	['12']",,,,,,,,,
"4136	Pyrobaculum islandicum DSM 4184	['104'", '100'],,,,,,,,
"4137	Pyrococcus abyssi GE5	['96']",,,,,,,,,
"4138	Pyrococcus furiosus COM1	['100'", '103', '100', '100', '90', '100'],,,,
"4139	Pyrococcus furiosus DSM 3638	['100'", '103', '100', '100', '90', '100'],,,,
"4140	Pyrococcus horikoshii OT3	['98']",,,,,,,,,
"4146	Pyrolobus fumarii 1A	['113'", '122', '121'],,,,,,,
"4156	Ralstonia solanacearum	['25']",,,,,,,,,
"4157	Ralstonia solanacearum FJAT-1458	['25']",,,,,,,,,
"4158	Ralstonia solanacearum FJAT-91	['25']",,,,,,,,,
"4159	Ralstonia solanacearum GMI1000	['25']",,,,,,,,,
"4160	Ralstonia solanacearum OE1-1	['25']",,,,,,,,,
"4161	Ralstonia solanacearum Po82	['25']",,,,,,,,,
"4162	Ralstonia solanacearum PSI07	['25']",,,,,,,,,
"4357	Rubrobacter xylanophilus DSM 9941	['45']",,,,,,,,,
"4633	Serratia marcescens	['40'", '22', '25'],,,,,,,
"4634	Serratia marcescens SM39	['40'", '22', '25'],,,,,,,
"4635	Serratia marcescens SMB2099	['40'", '22', '25'],,,,,,,
"4636	Serratia marcescens subsp. marcescens Db11	['40'", '22', '25'],,,,,,,
"4637	Serratia marcescens WW4	['40'", '22', '25'],,,,,,,
"4705	Sinorhizobium medicae WSM419	['28']",,,,,,,,,
"4786	Spirochaeta thermophila DSM 6192	['68']",,,,,,,,,
"4787	Spirochaeta thermophila DSM 6578	['68']",,,,,,,,,
"4820	Sporosarcina ureae	['25'", '22'],,,,,,,,
"4826	Staphylococcus aureus	['78'", '64'],,,,,,,,
"4827	Staphylococcus aureus 04-02981	['78'", '64'],,,,,,,,
"4828	Staphylococcus aureus 08BA02176	['78'", '64'],,,,,,,,
"4829	Staphylococcus aureus CA-347	['78'", '64'],,,,,,,,
"4830	Staphylococcus aureus O46	['78'", '64'],,,,,,,,
"4831	Staphylococcus aureus RF122	['78'", '64'],,,,,,,,
"4832	Staphylococcus aureus subsp. aureus	['78'", '64'],,,,,,,,
"4833	Staphylococcus aureus subsp. aureus 11819-97	['78'", '64'],,,,,,,,
"4834	Staphylococcus aureus subsp. aureus 55/2053	['78'", '64'],,,,,,,,
"4835	Staphylococcus aureus subsp. aureus 6850	['78'", '64'],,,,,,,,
"4836	Staphylococcus aureus subsp. aureus CN1	['78'", '64'],,,,,,,,
"4837	Staphylococcus aureus subsp. aureus COL	['78'", '64'],,,,,,,,
"4838	Staphylococcus aureus subsp. aureus DSM 20231	['78'", '64'],,,,,,,,
"4839	Staphylococcus aureus subsp. aureus ECT-R 2	['78'", '64'],,,,,,,,
"4840	Staphylococcus aureus subsp. aureus ED133	['78'", '64'],,,,,,,,
"4841	Staphylococcus aureus subsp. aureus ED98	['78'", '64'],,,,,,,,
"4842	Staphylococcus aureus subsp. aureus HO 5096 0412	['78'", '64'],,,,,,,,
"4843	Staphylococcus aureus subsp. aureus JH1	['78'", '64'],,,,,,,,
"4844	Staphylococcus aureus subsp. aureus JH9	['78'", '64'],,,,,,,,
"4845	Staphylococcus aureus subsp. aureus JKD6159	['78'", '64'],,,,,,,,
"4846	Staphylococcus aureus subsp. aureus LGA251	['78'", '64'],,,,,,,,
"4847	Staphylococcus aureus subsp. aureus M013	['78'", '64'],,,,,,,,
"4848	Staphylococcus aureus subsp. aureus MRSA252	['78'", '64'],,,,,,,,
"4849	Staphylococcus aureus subsp. aureus MSSA476	['78'", '64'],,,,,,,,
"4850	Staphylococcus aureus subsp. aureus Mu3	['78'", '64'],,,,,,,,
"4851	Staphylococcus aureus subsp. aureus Mu50	['78'", '64'],,,,,,,,
"4852	Staphylococcus aureus subsp. aureus MW2	['78'", '64'],,,,,,,,
"4853	Staphylococcus aureus subsp. aureus N315	['78'", '64'],,,,,,,,
"4854	Staphylococcus aureus subsp. aureus NCTC 8325	['78'", '64'],,,,,,,,
"4855	Staphylococcus aureus subsp. aureus SA268	['78'", '64'],,,,,,,,
"4856	Staphylococcus aureus subsp. aureus SA40	['78'", '64'],,,,,,,,
"4857	Staphylococcus aureus subsp. aureus SA957	['78'", '64'],,,,,,,,
"4858	Staphylococcus aureus subsp. aureus ST228	['78'", '64'],,,,,,,,
"4859	Staphylococcus aureus subsp. aureus ST398	['78'", '64'],,,,,,,,
"4860	Staphylococcus aureus subsp. aureus ST772-MRSA-V	['78'", '64'],,,,,,,,
"4861	Staphylococcus aureus subsp. aureus str. JKD6008	['78'", '64'],,,,,,,,
"4862	Staphylococcus aureus subsp. aureus str. Newman	['78'", '64'],,,,,,,,
"4863	Staphylococcus aureus subsp. aureus T0131	['78'", '64'],,,,,,,,
"4864	Staphylococcus aureus subsp. aureus Tager 104	['78'", '64'],,,,,,,,
"4865	Staphylococcus aureus subsp. aureus TCH60	['78'", '64'],,,,,,,,
"4866	Staphylococcus aureus subsp. aureus TW20	['78'", '64'],,,,,,,,
"4867	Staphylococcus aureus subsp. aureus USA300_FPR3757	['78'", '64'],,,,,,,,
"4868	Staphylococcus aureus subsp. aureus USA300_TCH1516	['78'", '64'],,,,,,,,
"4869	Staphylococcus aureus subsp. aureus VC40	['78'", '64'],,,,,,,,
"4870	Staphylococcus aureus subsp. aureus Z172	['78'", '64'],,,,,,,,
"4871	Staphylococcus aureus USA300-ISMMS1	['78'", '64'],,,,,,,,
"4884	Staphylococcus haemolyticus	['40'", '45', '15', '37', '37', '37'],,,,
"4885	Staphylococcus haemolyticus JCSC1435	['40'", '45', '15', '37', '37', '37'],,,,
"4886	Staphylococcus hominis subsp. hominis	['35'", '40', '45', '15'],,,,,,
"4893	Staphylococcus muscae	['37'", '25', '45'],,,,,,,
"4894	Staphylococcus nepalensis	['40'", '30', '45'],,,,,,,
"4910	Staphylococcus succinus	['25'", '40', '42', '28', '40'],,,,,
"4911	Staphylococcus warneri SG1	['35'", '40'],,,,,,,,
"4913	Staphylothermus hellenicus DSM 12710	['85'", '92', '98', '85'],,,,,,
"4914	Staphylothermus marinus F1	['85'", '92', '98', '85'],,,,,,
"4917	Stenotrophomonas maltophilia	['30']",,,,,,,,,
"4918	Stenotrophomonas maltophilia D457	['30']",,,,,,,,,
"4919	Stenotrophomonas maltophilia JV3	['30']",,,,,,,,,
"4920	Stenotrophomonas maltophilia K279a	['30']",,,,,,,,,
"4921	Stenotrophomonas maltophilia R551-3	['30']",,,,,,,,,
"4929	Stigmatella aurantiaca DW4/3-1	['90']",,,,,,,,,
"4931	Streptobacillus moniliformis	['37'", '41'],,,,,,,,
"4932	Streptobacillus moniliformis DSM 12112	['37'", '41'],,,,,,,,
"4934	Streptococcus agalactiae	['38']",,,,,,,,,
"4935	Streptococcus agalactiae 09mas018883	['38']",,,,,,,,,
"4936	Streptococcus agalactiae 2603V/R	['38']",,,,,,,,,
"4937	Streptococcus agalactiae A909	['38']",,,,,,,,,
"4938	Streptococcus agalactiae CNCTC 10/84	['38']",,,,,,,,,
"4939	Streptococcus agalactiae COH1	['38']",,,,,,,,,
"4940	Streptococcus agalactiae GD201008-001	['38']",,,,,,,,,
"4941	Streptococcus agalactiae ILRI005	['38']",,,,,,,,,
"4942	Streptococcus agalactiae NEM316	['38']",,,,,,,,,
"4955	Streptococcus equinus	['21'", '15', '21', '45', '47', '48'],,,,
"5076	Streptococcus thermophilus	['42'", '46'],,,,,,,,
"5077	Streptococcus thermophilus ASCC 1275	['42'", '46'],,,,,,,,
"5078	Streptococcus thermophilus CNRZ1066	['42'", '46'],,,,,,,,
"5079	Streptococcus thermophilus JIM 8232	['42'", '46'],,,,,,,,
"5080	Streptococcus thermophilus LMD-9	['42'", '46'],,,,,,,,
"5081	Streptococcus thermophilus LMG 18311	['42'", '46'],,,,,,,,
"5082	Streptococcus thermophilus MN-ZLW-002	['42'", '46'],,,,,,,,
"5083	Streptococcus thermophilus ND03	['42'", '46'],,,,,,,,
"5115	Streptomyces lavendulae subsp. lavendulae	['20'", '43', '37'],,,,,,,
"5175	Sulfolobus acidocaldarius	['80'", '90'],,,,,,,,
"5176	Sulfolobus acidocaldarius DSM 639	['80'", '90'],,,,,,,,
"5177	Sulfolobus acidocaldarius N8	['80'", '90'],,,,,,,,
"5178	Sulfolobus acidocaldarius Ron12/I	['80'", '90'],,,,,,,,
"5179	Sulfolobus islandicus LAL14/1	['80'", '80'],,,,,,,,
"5180	Sulfolobus islandicus L.S.2.15	['80'", '80'],,,,,,,,
"5181	Sulfolobus islandicus M.14.25	['80'", '80'],,,,,,,,
"5182	Sulfolobus islandicus M.16.27	['80'", '80'],,,,,,,,
"5183	Sulfolobus islandicus REY15A	['80'", '80'],,,,,,,,
"5184	Sulfolobus islandicus Y.G.57.14	['80'", '80'],,,,,,,,
"5185	Sulfolobus islandicus Y.N.15.51	['80'", '80'],,,,,,,,
"5294	Thermoanaerobacter brockii subsp. finnii Ako-1	['80'", '70', '115'],,,,,,,
"5295	Thermoanaerobacter italicus Ab9	['78'", '70'],,,,,,,,
"5300	Thermoanaerobacter kivui	['72'", '66'],,,,,,,,
"5301	Thermoanaerobacter mathranii subsp. mathranii str. A3	['75'", '75'],,,,,,,,
"5310	Thermococcus barophilus	['90'", '85', '100'],,,,,,,
"5311	Thermococcus barophilus MP	['90'", '85', '100'],,,,,,,
"5313	Thermococcus celer	['90'", '93', '88'],,,,,,,
"5314	Thermococcus chitonophagus	['120']",,,,,,,,,
"5317	Thermococcus gammatolerans EJ3	['95'", '88', '80', '95', '100'],,,,,
"5320	Thermococcus kodakarensis KOD1	['100'", '85'],,,,,,,,
"5321	Thermococcus litoralis DSM 5473	['100'", '95', '100', '88'],,,,,,
"5328	Thermococcus profundus	['80']",,,,,,,,,
"5340	Thermocrinis ruber	['89']",,,,,,,,,
"5342	Thermodesulfobacterium commune DSM 2178	['70']",,,,,,,,,
"5355	Thermoplasma acidophilum DSM 1728	['59'", '56'],,,,,,,,
"5357	Thermoplasma volcanium GSS1	['25'", '102', '57', '67', '60'],,,,,
"5358	Thermoproteus tenax Kra 1	['95'", '85'],,,,,,,,
"5359	Thermoproteus uzoniensis 768-20	['95'", '85'],,,,,,,,
"5366	Thermosphaera aggregans DSM 11486	['92']",,,,,,,,,
"5370	Thermotoga maritima	['80'", '90'],,,,,,,,
"5371	Thermotoga maritima MSB8	['80'", '90'],,,,,,,,
"5373	Thermotoga neapolitana DSM 4359	['95'", '77'],,,,,,,,
"5382	Thermus aquaticus Y51MC23	['55'", '70', '50', '80'],,,,,,
"5388	Thermus thermophilus	['65'", '80'],,,,,,,,
"5389	Thermus thermophilus HB27	['65'", '80'],,,,,,,,
"5390	Thermus thermophilus HB8	['65'", '80'],,,,,,,,
"5391	Thermus thermophilus JL-18	['65'", '80'],,,,,,,,
"5392	Thermus thermophilus SG0.5JP17-16	['65'", '80'],,,,,,,,
"5460	Vibrio anguillarum	['30'", '34', '41', '44'],,,,,,
"5461	Vibrio anguillarum 775	['30'", '34', '41', '44'],,,,,,
"5462	Vibrio anguillarum M3	['30'", '34', '41', '44'],,,,,,
"5485	Vibrio harveyi	['35']",,,,,,,,,
"5524	Vulcanisaeta distributa DSM 14429	['90']",,,,,,,,,
"5582	Xanthomonas gardneri	['37']",,,,,,,,,
"5597	Xanthomonas vesicatoria	['37']",,,,,,,,,
"5598	Xanthomonas vesicatoria ATCC 35937	['37']",,,,,,,,,
"5652	Yersinia pseudotuberculosis	['26'", '37', '25', '37'],,,,,,
"5653	Yersinia pseudotuberculosis IP 31758	['26'", '37', '25', '37'],,,,,,
"5654	Yersinia pseudotuberculosis IP 32953	['26'", '37', '25', '37'],,,,,,
"5655	Yersinia pseudotuberculosis PB1/+	['26'", '37', '25', '37'],,,,,,
"5656	Yersinia pseudotuberculosis str. PA3606	['26'", '37', '25', '37'],,,,,,
"5657	Yersinia pseudotuberculosis YPIII	['26'", '37', '25', '37'],,,,,,
"5667	Zymomonas mobilis subsp. mobilis	['12']",,,,,,,,,
"5668	Zymomonas mobilis subsp. mobilis ATCC 10988	['12']",,,,,,,,,
"5669	Zymomonas mobilis subsp. mobilis ATCC 29191	['12']",,,,,,,,,
"5670	Zymomonas mobilis subsp. mobilis NCIMB 11163	['12']",,,,,,,,,
"5671	Zymomonas mobilis subsp. mobilis NRRL B-12526	['12']",,,,,,,,,
